Comment,Description,Designator,Footprint,LibRef,Quantity,
,,,,,,
,,,C7090,,1,
103,Capacitor,"C0, C2, C3, C5, C7",C0402,"Cap, CH",5,
106,Capacitor,C1,C0603,Cap,1,
333,,C4,C0402,CH,1,
104,Capacitor,"C6, C8, C10, C13, C28",C0402,"Cap, CH",5,
102,Capacitor,C9,C0402,Cap,1,
106/16V,,"C11, C12, C18, C19, C29",C0805,CH,5,
226,,"C14, C15, C17",C0805,CH,3,
100P,Capacitor,C16,C0402,Cap,1,
104/50V,,"C20, C23, C27",C1206,CH,3,
223,Capacitor,"C21, C22, C26",C0603,Cap,3,
473/50V,,C24,C1206,CH,1,
223,Capacitor,C25,C1206,Cap,1,
4148,1N4001,"D1, D3",sod323,D0,2,
Red,,D2,LED0603,LED02,1,
USB,,J1,USB MRO04,USB5P,1,
RGB,,"LED10, LED11, LED12, LED13, LED14, LED15",LED-RGB01,LED05,6,
Header 6,"Header, 6-Pin",P1,SPIN6,Header 6,1,
4953,,"Q0, Q6",SOP8D,MOSFETP2,2,Î¢±Ì
2N7002,,Q1,SOT-23B,MOSFETN,1,
2227,,"Q4, Q5, Q9, Q10",SOT363,N+PS,4,
9926,,Q11,SOP8D,MOSFETN2,1,Î¢±Ì
8550,,"Q12, Q13, Q114",SOT-23,PNP,3,
0.033R,1K,R1,R0805,R,1,
1K,1K,"R2, R4, R8, R13, R14, R29, R30, R32, R34, R35, R37, R38, R39, R40",R0402,R,14,
33K,1K,"R3, R6, R9",R0402,R,3,
2.2K,1K,"R5, R24",R0402,R,2,
100K,1K,"R7, R26, R27, R28, R31, R33, R36",R0402,R,7,
68K,1K,"R10, R15",R0402,R,2,
1M,1K,R11,R0402,R,1,
10K,"1K, 10K","R12, R16, R19, R22, R25",R0402,R,5,
4.7K,1K,"R20, R21",R0402,R,2,
220,,"R41, R42, R43, R44, R45, R46",R0603,Res01,6,
10R,,R50,R0402,Res01,1,
103J,,RTC1,R0402,RTC,1,
LM358,,U1,SOP8,4558,1,
TL431,IC,U2,SOT-23-431,IC TL431,1,
N76E003,,U3,SOP20,103F,1,
7150,,U4,SOT89a,VOLTREG,1,
4069,,U5,SOP14,CD4069,1,
